hub,days,mean,std,p01,p99,min,max,max_day,share_abs_gt_1
Algonquin Citygates,694,1.3868,4.0138,-1.5929,18.5175,-2.166,49.5245,2017-12-27,0.438
Chicago Citygates,946,0.0435,0.3707,-0.1988,1.0397,-0.3016,8.6515,2015-02-19,0.0116
Malin,946,-0.119,0.1551,-0.4366,0.3983,-0.6959,0.751,2015-12-25,0.0
PG&E Citygate,946,0.3419,0.1834,-0.0766,0.7465,-0.3061,1.0164,2015-12-25,0.0011
SoCal Citygate,946,0.2838,0.568,-0.2425,2.5551,-1.7944,9.6457,2017-10-24,0.0455
SoCal Ehrenberg,946,0.0244,0.2593,-0.395,0.8387,-1.884,1.9119,2017-12-22,0.0053
TETCO-M3,946,-0.5566,1.8816,-2.2277,9.4327,-2.4813,17.7218,2015-02-19,0.4598
