side,model,days,breaches,expected,breach_rate,kupiec_p,independence_p,avg_excess_when_breached,worst_excess
long,Normal (textbook),7214,125,72.1,0.0173,0.0,0.0,0.0772,1.1547
long,Historical simulation,7214,112,72.1,0.0155,0.0,0.0,0.0857,1.2437
long,EWMA (RiskMetrics),7434,128,74.3,0.0172,0.0,0.887,0.0393,0.5733
long,Filtered historical,7184,97,71.8,0.0135,0.0046,0.7747,0.0421,0.5138
short,Normal (textbook),7214,131,72.1,0.0182,0.0,0.0,0.1005,1.2948
short,Historical simulation,7214,124,72.1,0.0172,0.0,0.0,0.0978,1.2664
short,EWMA (RiskMetrics),7434,152,74.3,0.0204,0.0,0.0051,0.0641,1.2894
short,Filtered historical,7184,100,71.8,0.0139,0.0016,0.0157,0.0721,1.2603
