hub,paired_days,hedge_ratio_min_var,r2,r2_without_worst_1pct,effectiveness_naive,effectiveness_min_var,highly_effective,residual_p99_abs,residual_worst_abs,residual_worst_day,months,r2_monthly,effectiveness_naive_monthly,highly_effective_monthly,worst_day_usd_at_10k_per_day,p99_day_usd_at_10k_per_day
Algonquin Citygates,646,5.109440378701337,0.03494843580014904,0.0729774427245164,0.012341253370312222,0.03494843580014904,False,7.078999999999988,34.815000000000005,2017-12-27,45,0.02002472489367199,0.01798239739495744,False,348150.00000000006,70789.99999999988
Chicago Citygates,939,0.921059201998763,0.05724715789876491,0.590120324991308,0.056826642538994276,0.05724715789876491,False,0.5235980000000002,7.5693,2015-02-19,45,0.5887998604882247,0.5886273707654904,False,75693.0,5235.980000000002
Malin,939,0.8661044780490812,0.5240662269883353,0.5782799632870144,0.5115412276999384,0.5240662269883353,False,0.26121599999999995,0.4086000000000003,2014-09-16,45,0.9059427708782469,0.9059416470735255,True,4086.000000000003,2612.1599999999994
PG&E Citygate,939,0.7249484369392009,0.5218655056729928,0.6287714410338482,0.4467425631385379,0.5218655056729928,False,0.23830800000000024,0.5865999999999998,2016-10-06,45,0.863687347227021,0.846338471603081,True,5865.999999999998,2383.080000000002
SoCal Citygate,939,1.131911291362491,0.0490006690703155,0.13538495581480176,0.04833517962879441,0.0490006690703155,False,1.5876380000000003,8.8179,2017-10-24,45,0.47501988725801414,0.45915111471869396,False,88179.0,15876.380000000003
SoCal Ehrenberg,939,0.9481972748742382,0.19386056265862714,0.3215473090245737,0.1932819375480337,0.19386056265862714,False,0.7521799999999998,1.7179400000000002,2016-10-12,45,0.7931571036258999,0.789930785687095,False,17179.4,7521.799999999998
TETCO-M3,939,3.1379147286090117,0.06916507602644288,0.06765023187874723,0.03705913956829432,0.06916507602644288,False,5.824676000000002,10.086400000000001,2015-03-01,45,0.013156882636082263,0.007266375101978806,False,100864.00000000001,58246.76000000002
